company,job,city,min_salary,max_salary,experience,education,financing,size,insurance,bonus,examination,weekend,prospect,team,travel,train
珑玺信息,python开发工程师,广州,11000.0,15000.0,3-5年,本科,未融资,15-50人,N,N,N,N,N,N,N,N
创富港,python开发工程师,深圳,9000.0,11000.0,1-3年,大专,上市公司,500-2000人,N,N,N,N,N,Y,N,N
有家有保,python工程师,北京,10000.0,20000.0,1-3年,本科,天使轮,15-50人,N,N,N,N,N,N,N,N
语核科技,python工程师,无锡,12000.0,22000.0,1-3年,本科,天使轮,15-50人,N,N,N,N,N,Y,N,N
信创电子,python开发工程师,上海,35000.0,55000.0,5-10年,本科,不需要融资,50-150人,N,Y,N,N,N,N,N,N
南京科澜特信息技术有...,python开发工程师,南京,13000.0,15000.0,3-5年,本科,天使轮,少于15人,N,N,N,N,N,N,N,N
莱嗯信息技术,python开发工程师,成都,13000.0,18000.0,3-5年,大专,未融资,15-50人,Y,N,N,N,N,Y,N,N
北纬四十度,python开发工程师,西安,9000.0,13000.0,3-5年,本科,未融资,50-150人,N,N,N,N,N,N,N,N
JETTECH,python开发,北京,15000.0,18000.0,3-5年,本科,上市公司,2000人以上,N,N,N,N,N,N,N,N
北京捷科,python开发工程师,北京,14000.0,17000.0,3-5年,本科,上市公司,2000人以上,N,N,N,N,N,N,N,N
鸾鸟网络,python工程师,武汉,7000.0,10000.0,3-5年,本科,未融资,少于15人,N,N,N,N,Y,N,N,N
展识科技,python开发工程师,武汉,6000.0,12000.0,不限,本科,不需要融资,15-50人,Y,N,N,Y,N,N,N,N
卓曜智能,python开发工程师,苏州,9000.0,18000.0,3-5年,本科,未融资,15-50人,N,N,N,N,Y,N,N,N
坤望私募基金,python开发工程师,上海,15000.0,25000.0,1-3年,本科,未融资,少于15人,N,N,N,N,N,Y,N,N
奥蓝网络,python开发工程师,商丘,5000.0,10000.0,3-5年,大专,未融资,15-50人,N,N,N,N,N,N,N,N
樱桃互动,python开发工程师,上海,12000.0,15000.0,1-3年,本科,天使轮,50-150人,N,N,N,N,N,N,N,N
华为技术有限公司,python开发工程师,深圳,15000.0,25000.0,不限,本科,不需要融资,2000人以上,N,N,N,N,Y,N,N,N
华为技术有限公司,python开发工程师,北京,15000.0,25000.0,不限,本科,不需要融资,2000人以上,N,N,N,N,Y,N,N,N
深圳脉山龙,python开发工程师,深圳,13000.0,17000.0,1-3年,大专,不需要融资,150-500人,N,N,N,Y,N,N,N,N
