,abbr,aggregate_market_value,capital_stock_in_circulation,code,total_stock_issue,traded_market_value
3028,伊力特,701244.93,47317.47,600197,47317.47,701244.93
3029,大唐电信,1076776.52,130194.98,600198,130360.35,1075410.54
3030,金种子酒,666348.18,65779.68,600199,65779.68,666348.18
3031,*ST苏吴,192993.15,71087.95,600200,71215.18,192648.34
3032,生物股份,782017.72,112036.92,600201,112036.92,782017.72
3033,哈空调,200870.51,38334.07,600202,38334.07,200870.51
3034,福日电子,570454.53,59298.81,600203,59298.81,570454.53
3035,有研新材,1577975.41,84655.33,600206,84655.33,1577975.41
3036,安彩高科,446618.15,108931.26,600207,108931.26,446618.15
3037,衢州发展,2229342.49,850776.92,600208,850894.08,2229035.53
3038,退市罗顿,51803.32,43901.12,600209,43901.12,51803.32
3039,紫江企业,963127.46,151673.62,600210,151673.62,963127.46
3040,西藏药业,1155192.0,32231.92,600211,32231.92,1155192.0
3041,绿能慧充,554962.56,51481.72,600212,70426.72,405675.96
3042,*ST亚星,181896.0,28600.0,600213,28600.0,181896.0
3043,派斯林,414380.87,45688.29,600215,46299.54,408910.18
3044,浙江医药,1281863.12,96163.35,600216,96163.78,1281857.42
3045,中再资环,750917.11,165765.37,600217,165765.37,750917.11
3046,全柴动力,375487.13,43559.99,600218,43559.99,375487.13
3047,南山铝业,4308671.88,1161367.08,600219,1161367.08,4308671.88
3048,ST阳光,65983.59,178334.03,600220,178334.03,65983.59
3049,海航控股,5790894.76,3287267.67,600221,4321563.25,4404938.67
3050,太龙药业,309324.71,57388.63,600222,57388.63,309324.71
3051,福瑞达,753277.46,101656.88,600223,101656.88,753277.46
3052,退市卓朗,98930.44,340882.54,600225,341139.44,98855.94
3053,亨通股份,868519.32,297438.12,600226,297438.12,868519.32
3054,赤天化,378275.0,127759.98,600227,168872.77,286182.36
3055,*ST返利,138779.16,41666.94,600228,41927.24,137917.56
3056,城市传媒,451051.78,67120.8,600229,67120.8,451051.78
3057,沧州大化,422240.24,41396.1,600230,41396.1,422240.24
3058,凌钢股份,479163.74,281918.51,600231,285216.51,473623.1
3059,金鹰股份,210442.6,36471.85,600232,36471.85,210442.6
3060,圆通速递,4535927.52,344675.34,600233,344675.34,4535927.52
3061,*ST科新,200566.02,26252.1,600234,26252.1,200566.02
3062,XD民丰特,208672.2,35130.0,600235,35130.0,208672.2
3063,桂冠电力,5013192.28,788237.78,600236,788237.78,5013192.28
3064,铜峰电子,429512.93,62167.62,600237,63070.92,423361.46
3065,*ST椰岛,224100.0,44500.16,600238,44820.0,222500.79
3066,云南城投,394998.98,160568.69,600239,160568.69,394998.98
3067,时代万恒,216017.75,29430.21,600241,29430.21,216017.75
3068,退市中昌,11416.63,45129.45,600242,45666.51,11282.36
3069,*ST海华,109712.5,43885.0,600243,43885.0,109712.5
3070,万通发展,1194238.72,191691.61,600246,191691.61,1194238.72
3071,陕建股份,1458054.34,368069.23,600248,376758.23,1424427.91
3072,两面针,306900.0,55000.0,600249,55000.0,306900.0
3073,南京商旅,266489.55,31059.39,600250,31059.39,266489.55
3074,冠农股份,588961.14,77699.36,600251,77699.36,588961.14
3075,中恒集团,818396.36,330228.03,600252,331334.56,815663.23
3076,鑫科材料,596028.5,180614.7,600255,180614.7,596028.5
3077,广汇能源,3754720.16,649605.56,600256,649605.56,3754720.16
3078,大湖股份,234843.75,48123.72,600257,48123.72,234843.75
3079,首旅酒店,1674904.69,111660.31,600258,111660.31,1674904.69
3080,广晟有色,1278456.46,33643.59,600259,33643.59,1278456.46
3081,*ST凯乐,46759.64,99488.61,600260,99488.61,46759.64
3082,阳光照明,427216.95,133505.3,600261,133505.3,427216.95
3083,北方股份,372300.0,17000.0,600262,17000.0,372300.0
3084,ST景谷,199243.0,12980.0,600265,12980.0,199243.0
3085,城建发展,963144.99,207574.35,600266,207574.35,963144.99
3086,海正药业,1054986.41,119818.89,600267,119884.82,1054406.27
3087,国电南自,796617.35,100607.3,600268,101609.36,788761.27
3088,赣粤高速,1254113.57,233540.7,600269,233540.7,1254113.57
3089,航天信息,1591627.9,185288.46,600271,185288.46,1591627.9
3090,开开实业,330723.0,16000.0,600272,24300.0,217760.0
3091,嘉化能源,1175433.2,139104.52,600273,139104.52,1175433.2
3092,退市昌鱼,20862.33,50883.72,600275,50883.72,20862.33
3093,恒瑞医药,33687511.01,637900.23,600276,637900.23,33687511.01
3094,ST亿利,135303.64,356062.22,600277,356062.22,135303.64
3095,东方创业,632420.63,87191.56,600278,87714.37,628651.12
3096,重庆港,642094.66,118686.63,600279,118686.63,642094.66
3097,中央商场,389275.5,112833.48,600280,112833.48,389275.5
3098,华阳新材,221707.27,51440.2,600281,51440.2,221707.27
3099,XD南钢股,2675649.5,616509.1,600282,616509.1,2675649.5
3100,钱江水利,595035.22,49419.41,600283,56082.49,524339.9
3101,浦东建设,622904.35,97025.6,600284,97025.6,622904.35
3102,羚锐制药,1320811.97,56586.55,600285,56711.55,1317900.72
3103,ST舜天,208452.79,43679.61,600287,43884.8,207478.14
3104,大恒科技,395304.0,43680.0,600288,43680.0,395304.0
3105,*ST信通,364748.1,56592.27,600289,63105.21,327103.31
3106,*ST华仪,28116.43,75990.35,600290,75990.35,28116.43
3107,退市西水,97282.73,109306.44,600291,109306.44,97282.73
3108,远达环保,946350.07,78081.69,600292,78081.69,946350.07
3109,三峡新材,352684.09,116014.5,600293,116014.5,352684.09
3110,鄂尔多斯,2524496.18,197557.63,600295,279877.63,1781969.78
3111,广汇汽车,647129.44,829653.13,600297,829653.13,647129.44
3112,安琪酵母,3175764.92,85715.05,600298,86864.47,3133742.12
3113,安迪苏,2628263.25,268190.13,600299,268190.13,2628263.25
3114,维维股份,577319.76,161714.22,600300,161714.22,577319.76
3115,华锡有色,1224018.07,27533.57,600301,63256.75,532774.54
3116,标准股份,199993.67,34600.98,600302,34600.98,199993.67
3117,曙光股份,285746.56,67560.42,600303,68360.42,282402.56
3118,恒顺醋业,869411.79,110302.64,600305,110894.36,864772.7
3119,退市商城,12423.99,37431.12,600306,42841.36,10855.03
3120,酒钢宏兴,870606.68,626335.74,600307,626335.74,870606.68
3121,华泰股份,524837.08,151687.02,600308,151687.02,524837.08
3122,万华化学,17234069.23,313974.66,600309,313974.66,17234069.23
3123,广西能源,650775.56,146571.07,600310,146571.07,650775.56
3124,*ST荣华,40601.6,66560.0,600311,66560.0,40601.6
3125,平高电气,2261987.82,135692.13,600312,135692.13,2261987.82
3126,农发种业,706675.73,108219.87,600313,108219.87,706675.73
3127,上海家化,1720898.51,67222.6,600315,67222.6,1720898.51
3128,洪都航空,2600974.34,71711.45,600316,71711.45,2600974.34
3129,新力金融,459916.69,51272.76,600318,51272.76,459916.69
3130,亚星化学,214791.0,31559.4,600319,38770.94,174839.08
3131,振华重工,2360222.37,332199.77,600320,526835.35,1488254.95
3132,正源股份,75527.5,151055.0,600321,151055.0,75527.5
3133,津投城开,249888.2,110570.0,600322,110570.0,249888.2
3134,瀚蓝环境,1935634.12,81534.71,600323,81534.71,1935634.12
3135,华发股份,1400845.43,275215.21,600325,275215.21,1400845.43
3136,西藏天路,934280.33,132249.23,600326,132334.32,933679.6
3137,大东方,430887.63,88477.95,600327,88477.95,430887.63
3138,中盐化工,1047850.65,146077.63,600328,147170.04,1040072.74
3139,达仁堂,2299501.75,56708.94,600329,77009.44,1693328.82
3140,天通股份,843669.14,123343.44,600330,123343.44,843669.14
3141,宏达股份,1389888.0,203200.0,600331,203200.0,1389888.0
3142,白云山,4309971.81,140589.09,600332,162579.09,3727016.91
3143,长春燃气,280154.11,60903.07,600333,60903.07,280154.11
3144,国机汽车,963287.92,149578.87,600335,149578.87,963287.92
3145,澳柯玛,573772.62,79801.48,600336,79801.48,573772.62
3146,美克家居,290273.62,143699.81,600337,143699.81,290273.62
3147,西藏珠峰,888612.28,91421.02,600338,91421.02,888612.28
3148,中油工程,1736358.86,558314.75,600339,558314.75,1736358.86
3149,华夏幸福,943206.6,389335.51,600340,391372.03,938298.57
3150,航天动力,746063.22,63820.63,600343,63820.63,746063.22
3151,长江通信,804583.21,21155.93,600345,32961.21,516416.24
3152,恒力石化,11016191.17,703909.98,600346,703909.98,11016191.17
3153,华阳股份,2402595.0,360750.0,600348,360750.0,2402595.0
3154,山东高速,5309641.59,485342.01,600350,485342.01,5309641.59
3155,亚宝药业,427700.03,70000.0,600351,70000.0,427700.03
3156,浙江龙盛,3181758.56,325333.19,600352,325333.19,3181758.56
3157,旭光电子,755507.46,82881.12,600353,83114.13,753389.34
3158,敦煌种业,330931.9,52780.21,600354,52780.21,330931.9
3159,*ST精伦,125974.84,49208.92,600355,49208.92,125974.84
3160,恒丰纸业,233309.21,29873.14,600356,29873.14,233309.21
3161,ST联合,224191.88,50493.67,600358,50493.67,224191.88
3162,新农开发,261717.79,38151.28,600359,38151.28,261717.79
3163,*ST华微,625152.24,96029.53,600360,96029.53,625152.24
3164,创新新材,1585470.25,146926.18,600361,410743.59,567135.07
3165,江西铜业,7455256.41,207524.74,600362,346272.94,4468007.66
3166,联创光电,2627209.21,45351.44,600363,45351.44,2627209.21
3167,ST通葡,135058.4,41872.0,600365,42740.0,132315.52
3168,宁波韵升,888025.17,106304.2,600366,109904.11,858937.97
3169,红星发展,470760.64,32197.32,600367,34113.09,444322.99
3170,五洲交通,729173.2,160965.39,600368,160965.39,729173.2
3171,西南证券,2757720.29,631510.91,600369,664510.91,2620770.29
3172,三房巷,716979.08,389662.54,600370,389662.54,716979.08
3173,万向德农,278241.68,29257.8,600371,29257.8,278241.68
3174,中航机载,5569570.02,483889.66,600372,483889.66,5569570.02
3175,中文传媒,1474538.58,134735.87,600373,139502.23,1424158.17
3176,汉马科技,974667.39,108768.58,600375,160307.14,661312.94
3177,首开股份,619095.66,257956.52,600376,257956.52,619095.66
3178,宁沪高速,7753093.4,380218.3,600377,503774.75,5851559.64
3179,昊华科技,3381089.0,91127.5,600378,128999.96,2388451.88
3180,宝光股份,319635.11,33020.16,600379,33020.16,319635.11
3181,健康元,1959344.58,182945.34,600380,182945.34,1959344.58
3182,*ST春天,219560.72,58706.07,600381,58706.07,219560.72
3183,广东明珠,338871.15,69440.81,600382,69440.81,338871.15
3184,金地集团,1878066.77,451458.36,600383,451458.36,1878066.77
3185,退市金泰,17772.86,14810.71,600385,14810.71,17772.86
3186,北巴传媒,348364.8,80640.0,600386,80640.0,348364.8
3187,*ST海越,65072.08,40404.85,600387,46814.45,56162.74
3188,龙净环保,1518975.37,127004.63,600388,127004.63,1518975.37
3189,江山股份,715309.65,43065.0,600389,43065.0,715309.65
3190,五矿资本,2406465.02,449806.55,600390,449806.55,2406465.02
3191,航发科技,833246.52,33012.94,600391,33012.94,833246.52
3192,盛和资源,2080605.14,175282.66,600392,175282.66,2080605.14
3193,ST粤泰,93841.17,133734.42,600393,253624.79,49481.74
3194,盘江股份,981007.58,214662.49,600395,214662.49,981007.58
3195,华电辽能,553737.76,147270.68,600396,147270.68,553737.76
3196,安源煤业,507849.42,98995.99,600397,98995.99,507849.42
3197,海澜之家,3789385.76,480277.03,600398,480277.03,3789385.76
3198,抚顺特钢,1025492.0,197210.0,600399,197210.0,1025492.0
3199,红豆股份,505245.81,229137.19,600400,229657.19,504101.81
3200,大有能源,827221.09,239081.24,600403,239081.24,827221.09
3201,动力源,286804.25,61011.94,600405,61282.96,285535.88
3202,国电南瑞,18385450.02,799632.48,600406,803208.83,18303587.37
3203,安泰集团,187264.8,100680.0,600408,100680.0,187264.8
3204,三友化工,1015659.93,206434.94,600409,206434.94,1015659.93
3205,华胜天成,1094301.69,109649.47,600410,109649.47,1094301.69
3206,小商品城,8570938.58,548286.05,600415,548364.59,8569711.0
3207,湘电股份,1379748.11,132540.64,600416,132540.64,1379748.11
3208,江淮汽车,7803466.98,218400.98,600418,218400.98,7803466.98
3209,天润乳业,306422.07,32019.02,600419,32019.02,306422.07
3210,国药现代,1382749.05,134117.27,600420,134117.27,1382749.05
3211,*ST华嵘,103081.2,19560.0,600421,19560.0,103081.2
3212,昆药集团,1201320.53,75697.58,600422,75697.58,1201320.53
3213,柳化股份,254783.71,79869.5,600423,79869.5,254783.71
3214,青松建化,601763.89,137879.01,600425,160470.37,517046.28
3215,华鲁恒升,4395065.4,211917.66,600426,212322.0,4386695.46
3216,中远海特,1668303.6,214665.08,600428,274392.04,1305163.67
3217,三元股份,688184.28,149755.74,600429,150917.6,682886.19
3218,冠豪高新,539086.0,175027.92,600433,175027.92,539086.0
3219,北方导航,1784443.44,150840.53,600435,150840.53,1784443.44
3220,片仔癀,12521848.69,60331.72,600436,60331.72,12521848.69
3221,通威股份,7428276.44,450198.57,600438,450198.57,7428276.44
3222,瑞贝卡,397326.89,113198.54,600439,113198.54,397326.89
3223,国机通用,222268.49,14642.19,600444,14642.19,222268.49
3224,金证股份,1408057.21,94627.5,600446,94627.5,1408057.21
3225,华纺股份,248148.95,62981.97,600448,62981.97,248148.95
3226,宁夏建材,626417.16,47818.1,600449,47818.1,626417.16
3227,涪陵电力,1484299.24,153654.17,600452,153654.17,1484299.24
3228,博通股份,157893.82,6245.8,600455,6245.8,157893.82
3229,宝钛股份,1444799.28,47777.75,600456,47777.75,1444799.28
3230,时代新材,967077.68,80279.82,600458,82444.82,941682.23
3231,贵研铂业,1018035.07,75383.96,600459,76029.5,1009391.17
3232,士兰微,4128562.25,166407.18,600460,166407.18,4128562.25
3233,洪城环境,1232784.12,128415.01,600461,128415.01,1232784.12
3234,*ST九有,59239.68,60046.5,600462,61708.0,57644.64
3235,空港股份,307200.0,30000.0,600463,30000.0,307200.0
3236,*ST蓝光,121397.22,303493.04,600466,303493.04,121397.22
3237,好当家,337489.68,146099.43,600467,146099.43,337489.68
3238,百利电气,500358.25,108773.53,600468,108773.53,500358.25
3239,风神股份,401927.43,72945.09,600469,72945.09,401927.43
3240,六国化工,279577.6,52160.0,600470,52160.0,279577.6
3241,华光环能,923462.89,94240.65,600475,95596.57,910364.67
3242,湘邮科技,257228.79,16107.0,600476,16107.0,257228.79
3243,杭萧钢构,618300.17,236896.62,600477,236896.62,618300.17
3244,科力远,812783.97,166554.09,600478,166554.09,812783.97
3245,千金药业,438837.02,41850.71,600479,42399.71,433154.87
3246,凌云股份,1580606.12,92598.11,600480,94027.73,1556574.21
3247,双良节能,856311.9,187376.78,600481,187376.78,856311.9
3248,中国动力,4888495.31,225276.28,600482,225276.28,4888495.31
3249,福能股份,2710634.36,278013.78,600483,278013.78,2710634.36
3250,*ST信威,985301.32,189500.0,600485,292374.28,638615.01
3251,扬农化工,2118025.42,40286.86,600486,40668.69,2098139.56
3252,亨通光电,3870306.68,244518.11,600487,246673.47,3836489.19
3253,津药药业,447673.54,109188.67,600488,109188.67,447673.54
3254,中金黄金,6684444.03,484731.26,600489,484731.26,6684444.03
3255,鹏欣资源,1020140.94,199262.14,600490,221288.71,918598.46
3256,龙元建设,611903.18,152975.8,600491,152975.8,611903.18
3257,凤竹纺织,155040.0,27200.0,600493,27200.0,155040.0
3258,晋西车轴,502607.41,120819.09,600495,120819.09,502607.41
3259,精工钢构,640819.97,199012.41,600496,199012.41,640819.97
3260,驰宏锌锗,2642380.32,509129.16,600497,509129.16,2642380.32
3261,烽火通信,2580965.22,116658.77,600498,118447.23,2541994.5
3262,科达制造,1902513.54,191785.64,600499,191785.64,1902513.54
3263,中化国际,1313399.64,358672.28,600500,358852.36,1312740.53
3264,航天晨光,836974.73,42459.84,600501,43120.8,824145.59
3265,安徽建工,799904.82,171653.39,600502,171653.39,799904.82
3266,华丽家族,432618.3,160229.0,600503,160229.0,432618.3
3267,西昌电力,558517.41,36456.75,600505,36456.75,558517.41
3268,统一股份,376549.13,14770.69,600506,19201.89,289653.18
3269,方大特钢,1008549.92,231318.79,600507,231318.79,1008549.92
3270,上海能源,813057.75,72271.8,600508,72271.8,813057.75
3271,天富能源,956580.6,137439.74,600509,137439.74,956580.6
3272,黑牡丹,539749.31,103202.55,600510,103202.55,539749.31
3273,国药股份,2246909.93,55334.64,600511,75450.3,1647865.65
3274,腾达建设,359753.14,158740.52,600512,159890.28,357166.16
3275,联环药业,258337.92,28545.63,600513,28545.63,258337.92
3276,海南机场,4044559.6,917601.25,600515,1142530.96,3248308.43
3277,方大炭素,1896232.04,402597.04,600516,402597.04,1896232.04
3278,国网英大,2836344.13,571843.57,600517,571843.57,2836344.13
3279,康美药业,2745045.6,1382235.22,600518,1386386.67,2736825.73
3280,贵州茅台,199883681.54,125619.78,600519,125619.78,199883681.54
3281,三佳科技,458021.13,15843.0,600520,15843.0,458021.13
3282,华海药业,2130673.77,146675.56,600521,150790.78,2072525.62
3283,中天科技,4757651.81,341294.97,600522,341294.97,4757651.81
3284,贵航股份,555523.75,40404.46,600523,40431.13,555157.31
3285,ST长园,419372.09,131878.02,600525,131878.02,419372.09
3286,菲达环保,428836.91,71162.61,600526,88970.31,343003.77
3287,江南高纤,365401.55,173176.09,600527,173176.09,365401.55
3288,中铁工业,1655055.93,222155.16,600528,222155.16,1655055.93
3289,山东药玻,1462605.51,66361.41,600529,66361.41,1462605.51
3290,交大昂立,411482.52,77492.0,600530,77492.0,411482.52
3291,豫光金铅,762088.89,109025.59,600531,109025.59,762088.89
3292,退市未来,37156.73,51606.57,600532,51606.57,37156.73
3293,栖霞建设,239400.0,105000.0,600533,105000.0,239400.0
3294,天士力,2299189.06,149395.0,600535,149395.0,2299189.06
3295,中国软件,3939576.18,84365.59,600536,84996.25,3910345.07
3296,亿晶光电,342093.64,118371.5,600537,118371.5,342093.64
3297,国发股份,298793.06,52419.83,600538,52419.83,298793.06
3298,狮头股份,277380.0,23000.0,600539,23000.0,277380.0
3299,新赛股份,272084.42,58137.7,600540,58137.7,272084.42
3300,莫高股份,167945.76,32112.0,600543,32112.0,167945.76
3301,卓郎智能,398704.43,178791.22,600545,178791.22,398704.43
3302,山煤国际,1873421.05,198245.61,600546,198245.61,1873421.05
3303,山东黄金,13514230.6,361444.33,600547,447342.95,10919233.35
3304,深高速,2852550.29,143327.03,600548,253785.61,1610995.85
3305,厦门钨业,3078328.92,141800.65,600549,158758.58,2749514.6
3306,保变电气,1427184.57,184152.85,600550,184152.85,1427184.57
3307,时代出版,532273.36,67805.52,600551,67805.52,532273.36
3308,凯盛科技,1076851.86,94460.69,600552,94460.69,1076851.86
3309,退市海创,33891.0,97350.0,600555,130350.0,25311.0
3310,天下秀,867718.87,180774.76,600556,180774.76,867718.87
3311,康缘药业,727199.28,56615.88,600557,56945.91,722984.8
3312,大西洋,419181.46,89760.48,600558,89760.48,419181.46
3313,老白干酒,1621847.22,90427.14,600559,91474.74,1603273.27
3314,金自天正,347768.75,22364.55,600560,22364.55,347768.75
3315,江西长运,170117.13,28447.68,600561,28447.68,170117.13
3316,国睿科技,2959347.23,123403.18,600562,124185.78,2940697.68
3317,法拉电子,2403225.0,22500.0,600563,22500.0,2403225.0
3318,ST迪马,211778.03,249150.63,600565,249150.63,211778.03
3319,济川药业,2479384.19,91574.82,600566,92170.42,2463362.55
3320,山鹰国际,946540.19,547133.06,600567,547133.06,946540.19
3321,ST中珠,267044.54,166906.73,600568,199286.97,223655.02
3322,安阳钢铁,537142.8,287242.14,600569,287242.14,537142.8
3323,恒生电子,4933729.58,189176.75,600570,189176.75,4933729.58
3324,信雅达,713933.33,45775.17,600571,46631.83,700817.86
3325,康恩贝,1137198.75,257780.08,600572,258454.26,1134232.33
3326,惠泉啤酒,297750.0,25000.0,600573,25000.0,297750.0
3327,淮河能源,1492324.25,388626.11,600575,388626.11,1492324.25
3328,祥源文旅,1020802.89,66039.01,600576,105454.84,639257.6
3329,精达股份,1534498.72,214915.79,600577,214915.79,1534498.72
3330,京能电力,2925549.38,669462.1,600578,669462.1,2925549.38
3331,中化装备,371528.98,49471.24,600579,49471.24,371528.98
3332,卧龙电驱,3334713.92,130262.26,600580,130262.26,3334713.92
3333,八一钢铁,509306.88,153289.79,600581,153869.15,507389.2
3334,天地科技,2607311.0,413858.89,600582,413858.89,2607311.0
3335,海油工程,2281419.08,442135.48,600583,442135.48,2281419.08
3336,长电科技,6028537.69,178941.46,600584,178941.46,6028537.69
3337,海螺水泥,12718326.19,399970.26,600585,529930.26,9599286.19
3338,金晶科技,680094.52,142877.0,600586,142877.0,680094.52
3339,新华医疗,919723.73,60436.2,600587,60667.79,916212.85
3340,用友网络,4770128.38,341699.74,600588,341699.74,4770128.38
3341,大位科技,1123637.12,147846.99,600589,147846.99,1123637.12
3342,泰豪科技,817902.09,84356.95,600590,85286.98,808983.17
3343,龙溪股份,1086785.71,39955.36,600592,39955.36,1086785.71
3344,大连圣亚,369140.8,12880.0,600593,12880.0,369140.8
3345,益佰制药,293805.07,79192.74,600594,79192.74,293805.07
3346,中孚实业,1503536.29,400790.51,600595,400943.01,1502964.42
3347,新安股份,1040539.32,129297.19,600596,134959.7,996881.34
3348,光明乳业,1160674.91,137845.54,600597,137847.38,1160659.42
3349,北大荒,2693185.06,177767.99,600598,177767.99,2693185.06
3350,*ST熊猫,127820.0,16600.0,600599,16600.0,127820.0
3351,青岛啤酒,10118247.58,70903.09,600600,136419.68,5258882.5
3352,方正科技,1851610.22,417029.33,600601,417029.33,1851610.22
3353,云赛智联,3099148.05,107430.3,600602,136767.35,2434370.58
3354,ST广物,859196.99,119332.92,600603,119332.92,859196.99
3355,市北高新,850480.38,140745.48,600604,187330.48,638984.48
3356,汇通能源,835443.84,20628.24,600605,20628.24,835443.84
3357,绿地控股,2403271.33,1405421.83,600606,1405421.83,2403271.33
3358,*ST沪科,112799.47,31837.14,600608,32886.14,109201.4
3359,金杯汽车,721420.88,130455.86,600609,130455.86,721420.88
3360,中毅达,1268389.13,70872.67,600610,107127.46,839132.42
3361,大众交通,1498853.9,156331.64,600611,236412.29,991142.57
3362,老凤祥,2582632.4,31710.96,600612,52311.78,1565570.24
3363,神奇制药,333794.77,47932.0,600613,53407.16,299574.99
3364,退市鹏起,294465.99,151148.77,600614,175277.38,253929.93
3365,丰华股份,235025.64,18762.45,600615,18802.05,234530.64
3366,金枫酒业,378656.8,66900.5,600616,66900.5,378656.8
3367,国新能源,515094.2,177554.27,600617,192919.18,474069.9
3368,氯碱化工,1077764.78,74984.0,600618,115640.0,698850.86
3369,海立股份,1261179.68,78917.48,600619,107334.44,927280.39
3370,天宸股份,345398.59,68667.71,600620,68667.71,345398.59
3371,华鑫股份,1431153.14,106089.93,600621,106089.93,1431153.14
3372,光大嘉宝,416912.54,149968.54,600622,149968.54,416912.54
3373,华谊集团,1519723.56,187184.2,600623,213144.96,1334623.33
3374,复旦复华,469428.74,67934.69,600624,67934.69,469428.74
3375,申达股份,447732.44,110797.87,600626,132074.47,375604.78
3376,新世界,470278.4,64687.54,600628,64687.54,470278.4
3377,华建集团,796667.89,95311.7,600629,97036.28,782509.1
3378,龙头股份,379826.27,42486.16,600630,42486.16,379826.27
3379,浙数文化,1734725.88,126807.45,600633,126807.45,1734725.88
3380,退市富控,94995.79,57573.21,600634,57573.21,94995.79
3381,大众公用,1127830.05,241879.17,600635,295243.47,923978.42
3382,*ST国化,324152.6,43863.68,600636,43863.68,324152.6
3383,东方明珠,2474358.27,336189.98,600637,336189.98,2474358.27
3384,新黄浦,360267.28,67339.68,600638,67339.68,360267.28
3385,浦东金桥,1184145.6,85023.67,600639,112241.29,896999.72
3386,国脉文化,921415.9,79569.59,600640,79569.59,921415.9
3387,万业企业,1323355.75,93062.99,600641,93062.99,1323355.75
3388,申能股份,4478096.63,487904.05,600642,489409.47,4464322.06
3389,爱建集团,751976.61,159035.17,600643,159317.08,750646.01
3390,乐山电力,643092.75,53840.07,600644,57832.08,598701.53
3391,中源协和,1029019.61,46777.02,600645,46794.89,1028626.59
3392,退市同达,21149.82,13914.36,600647,13914.36,21149.82
3393,外高桥,1513582.3,93479.16,600648,135991.22,1040423.08
3394,城投控股,1107954.13,252957.56,600649,252957.56,1107954.13
3395,锦江在线,754051.02,39056.01,600650,55161.01,533895.62
3396,飞乐音响,1015346.35,250702.8,600651,250702.8,1015346.35
3397,退市游久,99091.72,83270.35,600652,83270.35,99091.72
3398,申华控股,375651.4,194638.03,600653,194638.03,375651.4
3399,中安科,883484.43,229976.92,600654,287779.95,706029.16
3400,豫园股份,2162803.71,388984.63,600655,389694.36,2158864.68
3401,信达地产,1183529.62,285187.86,600657,285187.86,1183529.62
3402,电子城,463094.21,111858.5,600658,111858.5,463094.21
3403,XD福耀玻,14645880.7,200298.63,600660,260974.35,11240759.3
3404,昂立教育,294858.75,28654.88,600661,28654.88,294858.75
3405,外服控股,1160016.21,227008.07,600662,228349.65,1153200.97
3406,陆家嘴,4400724.32,315568.37,600663,503515.37,2758067.52
3407,哈药股份,909182.07,251850.99,600664,251850.99,909182.07
3408,天地源,262693.25,86412.25,600665,86412.25,262693.25
3409,奥瑞德,721276.85,241975.29,600666,276351.28,631555.52
3410,太极实业,1366917.43,210619.02,600667,210619.02,1366917.43
3411,尖峰集团,474491.6,34408.38,600668,34408.38,474491.6
3412,ST目药,164036.16,12172.05,600671,12177.89,163957.56
3413,东阳光,3040999.13,300155.79,600673,301387.43,3028571.95
3414,川投能源,8398947.56,487460.68,600674,487460.68,8398947.56
3415,中华企业,1705010.16,604613.53,600675,604613.53,1705010.16
3416,交运股份,438137.99,102849.29,600676,102849.29,438137.99
3417,四川金顶,288614.73,34899.0,600678,34899.0,288614.73
3418,上海凤凰,680188.42,34369.43,600679,51529.43,453676.42
3419,百川能源,474662.6,133980.88,600681,134085.48,474292.31
3420,南京新百,873639.81,116506.03,600682,134613.22,756124.12
3421,京投发展,278532.38,74077.76,600683,74077.76,278532.38
3422,珠江股份,302978.56,85346.07,600684,85346.07,302978.56
3423,中船防务,3454609.59,82143.52,600685,141350.64,2007587.58
3424,金龙汽车,926425.26,71704.74,600686,71704.74,926425.26
3425,上海石化,3046717.87,732881.35,600688,1057888.15,2110698.29
3426,上海三毛,235159.87,15220.41,600689,20099.13,178078.85
3427,海尔智家,23823216.96,625450.11,600690,938291.33,15880178.28
3428,阳煤化工,513212.1,237558.6,600691,237598.2,513126.57
3429,亚通股份,244476.02,25501.05,600692,35176.41,177232.31
3430,东百集团,582796.98,86895.28,600693,86984.62,582198.36
3431,大商股份,802079.07,31305.26,600694,31615.26,794214.37
3432,退市绿庭,36267.74,36646.72,600695,71113.21,18689.82
3433,*ST岩石,200681.66,33446.94,600696,33446.94,200681.66
3434,欧亚集团,190428.43,15537.6,600697,15908.81,185985.09
3435,湖南天雁,688794.48,83034.53,600698,107122.0,533912.01
3436,均胜电子,2318722.74,136808.46,600699,140870.15,2251867.29
3437,退市工新,204877.57,83249.3,600701,103473.52,164833.61
3438,舍得酒业,1902795.38,33261.89,600702,33312.24,1899919.04
3439,三安光电,6176405.18,498901.87,600703,498901.87,6176405.18
3440,物产中大,2736480.06,515370.2,600704,519256.18,2716000.98
3441,中航产融,3060948.89,880442.48,600705,882117.84,3055135.42
3442,曲江文旅,233634.76,25403.02,600706,25505.98,232691.65
3443,彩虹股份,2382690.78,358766.97,600707,358838.97,2382212.7
3444,光明地产,708706.48,222527.78,600708,222863.67,707638.33
3445,苏美达,1250559.21,130674.94,600710,130674.94,1250559.21
3446,ST盛屯,1743104.91,309061.16,600711,309061.16,1743104.91
3447,南宁百货,300649.76,53864.84,600712,54465.54,297333.9
3448,南京医药,670374.93,130291.06,600713,130932.6,667090.24
3449,金瑞矿业,307772.26,28817.63,600714,28817.63,307772.26
3450,文投控股,941886.01,266237.22,600715,405985.35,617670.36
3451,凤凰股份,321068.78,93606.06,600716,93606.06,321068.78
3452,天津港,1308088.47,289400.1,600717,289400.1,1308088.47
3453,东软集团,1209721.99,120370.35,600718,120370.35,1209721.99
3454,大连热电,284028.92,40459.96,600719,40459.96,284028.92
